,Split Ratio  ,Noise ,Error Count ,Time Count,Weight Count,Bias Count
0,0.8,5,0.05102040816326531,0.0006799999999884676,[[ 2.10420433 -1.57981116]],-6.517845974961101
0,0.8,5,0.05102040816326531,0.0005250000000387445,[[ 1.9 -2.3]],-2.9700050354003817
0,0.8,5,0.04081632653061224,0.0004359999999792308,[[ 2.22184884 -2.22215396]],-4.998260274667885
0,0.8,5,0.05102040816326531,0.0005590000000097461,[[ 2.21969998 -2.22104169]],-4.990412676265639
0,0.8,5,0.061224489795918366,0.0005269999999768515,[[ 1.43064087 -2.00095537]],-1.5513351368519988
0,0.8,5,0.05102040816326531,0.00047000000000707587,[[ 1.81731917 -1.81827864]],-4.267765298080853
0,0.8,5,0.05102040816326531,0.0005419999999958236,[[ 2.2222333  -2.21997104]],-5.00703666091066
0,0.8,5,0.061224489795918366,0.0004989999999907013,[[ 1.94344071 -2.22222654]],-3.6334219247945803
0,0.8,5,0.05102040816326531,0.0004710000000045511,[[ 1.78688474 -1.85573728]],-3.9891750286212897
0,0.8,5,0.061224489795918366,0.0004429999999615575,[[ 1.68978419 -2.12189102]],-2.568579300918481
0,0.8,5,0.04081632653061224,0.0005140000000096734,[[ 1.58231924 -2.46136621]],-0.846093989913393
0,0.8,5,0.05102040816326531,0.0004989999999907013,[[ 1.81847898 -1.81784058]],-4.275222493851128
0,0.8,5,0.061224489795918366,0.0005029999999806023,[[ 1.62933821 -2.09368329]],-2.3314977257205487
0,0.8,5,0.05102040816326531,0.0005810000000110449,[[ 1.94999307 -1.95000693]],-4.509941550778034
0,0.8,5,0.05102040816326531,0.0005189999999970496,[[ 1.81818382 -1.55736732]],-5.055430505358246
0,0.8,5,0.07142857142857142,0.0005030000000374457,[[ 1.44852075 -2.31894154]],-0.8503567179655022
0,0.8,5,0.061224489795918366,0.0005660000000489163,[[ 1.50315616 -1.95409491]],-2.0216321065286516
0,0.8,5,0.05102040816326531,0.00046700000001465014,[[ 2.0679902  -1.60844334]],-6.123374250830483
0,0.8,5,0.061224489795918366,0.00047899999998435305,[[ 1.66609255 -2.1659212 ]],-2.3490736551935787
0,0.8,5,0.04081632653061224,0.0005370000000084474,[[ 1.81779423 -1.81840398]],-4.269984312785663
0,0.8,10,0.10204081632653061,0.00048500000002604793,[[ 1.64893505 -1.44377911]],-4.356607797976217
0,0.8,10,0.10204081632653061,0.0004729999999995016,[[ 1.53787698 -1.7942023 ]],-2.742627095975221
0,0.8,10,0.10204081632653061,0.00048600000002352317,[[ 1.48126453 -1.85208042]],-2.1463989600051914
0,0.8,10,0.11224489795918367,0.00047200000000202635,[[ 1.63589653 -1.45494909]],-4.505305382795182
0,0.8,10,0.11224489795918367,0.0005140000000096734,[[ 1.24992122 -1.8748407 ]],-1.0000863195001395
