,Training,Noise,Training Error,Testing Error ,Time Count,Weight,Bias,Objective Function
0,80,0,0.0125,0.0,0.007894000000021606,[[ 3.32309775 -3.33300812]],-7.612383673782571,11.075960879293948
0,80,0,0.0125,0.0,0.007330000000024484,[[ 3.9883261  -3.98863035]],-8.973846787684302,15.907958583412752
0,80,0,0.0125,0.0,0.000876000000005206,[[ 5.88463559 -4.70625593]],-16.656952115236383,28.388890443823634
0,80,0,0.025,0.0,0.0009739999999851534,[[ 3.32520218 -3.65823251]],-6.514073110746043,12.219817342198056
0,80,0,0.0125,0.0,0.0007980000000316068,[[ 6.01485313 -5.00778894]],-16.455582826997198,30.62820412453351
0,80,0,0.0,0.0,0.0005010000000424952,[[15.54661826 -8.88481057]],-55.85408288580319,160.31859904755714
0,80,0,0.0,0.05,0.00046500000001969966,[[ 6.31817479 -5.26514389]],-17.32233003763817,33.82053641242135
0,80,0,0.0125,0.0,0.0006809999999859428,[[ 6.01461328 -5.00766901]],-16.45467939173356,30.62616094127069
0,80,0,0.0125,0.0,0.0023730000000341533,[[ 3.3344918  -3.31221316]],-7.743706796616336,11.044795800387728
0,80,0,0.0,0.1,0.0003460000000359287,[[ 3.68438812 -4.21103851]],-6.788890613539709,15.653780567914296
0,80,0,0.0125,0.0,0.001191999999946347,[[ 3.27063259 -3.34077987]],-7.299732685867641,10.928923840583867
0,80,0,0.0125,0.0,0.0009039999999913562,[[ 6.25285803 -5.00230034]],-17.63286322509035,32.06062110291274
0,80,0,0.0125,0.0,0.0005260000000362197,[[ 6.3147365 -5.2614421]],-17.314796511151172,33.77933497598948
0,80,0,0.0125,0.0,0.000588000000050215,[[ 3.50597647 -3.15491408]],-8.716902328794525,11.122676931478575
0,80,0,0.0,0.05,0.0003460000000359287,[[ 5.0000286 -4.9994625]],-11.001856224989405,24.997455679973022
0,80,0,0.0125,0.05,0.000569000000041342,[[ 2.98981842 -3.48991873]],-5.273892143967942,10.559273483966026
0,80,0,0.0,0.05,0.00039400000002842717,[[ 5.00227967 -5.00051699]],-11.010447636837041,25.01398600559974
0,80,0,0.0125,0.0,0.0010419999999840002,[[ 5.00007581 -4.16277606]],-13.510269298260654,21.164731307798483
0,80,0,0.0,0.05,0.0004270000000019536,[[ 6.31507661 -5.26307246]],-17.31241118194829,33.79006219367763
0,80,0,0.0125,0.0,0.0006390000000351392,[[ 4.61359334 -3.84399997]],-12.920253873534861,18.0307896215142
0,80,5,0.075,0.0,0.0038010000000099353,[[ 1.77538809 -2.28361043]],-2.6311660278936153,4.183439733955877
0,80,5,0.075,0.0,0.002193999999974494,[[ 2.28120261 -2.56376808]],-4.256313386336902,5.8883960576198735
0,80,5,0.0125,0.2,0.0007239999999910651,[[ 5.88463559 -4.70625593]],-16.656952115236383,28.388890443823634
0,80,5,0.0375,0.15,0.000841000000036729,[[ 2.69401825 -3.08078028]],-4.6926030508507655,8.374470724833014
0,80,5,0.0625,0.0,0.0011780000000385371,[[ 2.49986734 -2.49134495]],-5.772934139970907,6.228068178271545
0,80,5,0.0625,0.05,0.001239999999995689,[[ 1.91697609 -2.85469898]],-1.641502959424133,5.912051794151221
0,80,5,0.05,0.1,0.0012919999999780885,[[ 2.8442877  -3.31743312]],-4.982535974484814,9.547667506335182
0,80,5,0.05,0.1,0.0009609999999611318,[[ 3.03084556 -3.33112677]],-5.858756835931743,10.141215197286297
0,80,5,0.05,0.05,0.0016960000000381115,[[ 2.17964934 -2.53525308]],-4.071152505989317,5.589189707932581
0,80,5,0.05,0.1,0.0019260000000258515,[[ 2.22937431 -2.49730901]],-4.213871895421296,5.603331068255519
0,80,5,0.05,0.1,0.02799800000002506,[[ 2.48808144 -2.50100846]],-5.437012267142097,6.222796295076449
0,80,5,0.05,0.05,0.0012099999999577449,[[ 2.33438177 -1.66798715]],-7.430056999352815,4.115759687969581
0,80,5,0.0625,0.05,0.007683999999983371,[[ 2.26635367 -2.58184359]],-4.102725754928006,5.90113765132342
0,80,5,0.05,0.05,0.0013940000000047803,[[ 2.2456298  -2.21588444]],-5.135514314742527,4.976498521503687
0,80,5,0.05,0.1,0.0015149999999835018,[[ 1.87100478 -3.10594258]],-0.5369584755915701,6.573769093313348
0,80,5,0.0625,0.05,0.0014630000000011023,[[ 1.91032933 -2.87141388]],-1.5606869139053712,5.947187919863431
0,80,5,0.05,0.1,0.0019209999999816318,[[ 1.84030924 -2.85690177]],-1.1622359520805425,5.774312893156407
0,80,5,0.05,0.05,0.006636000000014519,[[ 2.23535737 -2.24108347]],-5.012024148584007,5.009638835034604
0,80,5,0.05,0.05,0.0017870000000357322,[[ 2.22537877 -2.23271903]],-4.982962972002668,4.968672460064187
0,80,5,0.0625,0.05,0.001599999999996271,[[ 2.00401597 -2.79804698]],-2.2270749261783465,5.922573463730797
0,80,10,0.125,0.0,0.0077310000000352375,[[ 1.64941089 -1.70998243]],-3.6156733585200995,2.822298087995562
0,80,10,0.1375,0.0,0.0028739999999629617,[[ 1.55735921 -1.99220238]],-2.300127744289352,3.197119004158478
0,80,10,0.0875,0.2,0.036150000000020555,[[ 2.50144522 -2.50900298]],-5.48291231132115,6.276162088621849
0,80,10,0.0875,0.15,0.003723000000036336,[[ 1.53695713 -3.03733456]],1.0397469279972518,5.793819231235754
0,80,10,0.1125,0.05,0.004482999999993353,[[ 1.81473105 -1.82741518]],-4.226265898393876,3.316347507790513
0,80,10,0.1,0.1,0.003356999999994059,[[ 1.77616881 -1.99890887]],-3.528599992432873,3.575206155611685
0,80,10,0.1,0.15,0.001706000000012864,[[ 1.74149409 -2.60382149]],-1.4643851048503143,4.906343992833339
0,80,10,0.1,0.1,0.002996999999993477,[[ 2.02207404 -2.00527278]],-4.506049957460676,4.054951179086663
0,80,10,0.1125,0.1,0.003758000000004813,[[ 1.62234908 -2.08988973]],-2.3095148015374125,3.499827801493661
0,80,10,0.1,0.1,0.0023099999999658394,[[ 1.81297898 -1.82184064]],-4.237126122535725,3.302998049742788
0,80,10,0.0875,0.15,0.014311000000020613,[[ 2.2890119  -1.63017044]],-7.0916086664208695,3.948515573747631
0,80,10,0.125,0.05,0.0024909999999636057,[[ 1.53377645 -1.73085718]],-3.1617335053383737,2.6741683865524655
0,80,10,0.1125,0.05,0.002345999999988635,[[ 2.07372132 -1.71686868]],-5.844584287224695,3.623979081481047
0,80,10,0.1,0.1,0.007898000000011507,[[ 1.85884162 -1.63559512]],-5.022402786912279,3.0652317804073617
0,80,10,0.1125,0.1,0.003268999999988864,[[ 1.63522237 -1.67098927]],-3.8239697333392795,2.733078664168718
