,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,80,0,0.0125,0.0,0.0007570000000001187,[[ 2.18113104 -2.23395864]],-4.767553076313062,4.873951902533532
0,80,0,0.0125,0.0,0.0005630000000005353,[[ 2.22264429 -2.22075668]],-5.006802166164893,4.935953922562048
0,80,0,0.0125,0.0,0.00047599999999992093,[[ 2.22224656 -2.22212518]],-5.00041879739035,4.938110054970846
0,80,0,0.0125,0.0,0.0004970000000001917,[[ 2.22178672 -2.22179185]],-4.999075591136773,4.936347633726255
0,80,0,0.0125,0.0,0.0004979999999994433,[[ 2.22266464 -2.22267235]],-5.000974033225349,4.940255240208547
0,80,0,0.0125,0.0,0.0005270000000008324,[[ 2.22274166 -2.22158307]],-5.004732007936318,4.938005908162387
0,80,0,0.0,0.05,0.0004019999999993473,[[ 2.22720466 -2.24959915]],-4.9417851974386195,5.01056846893035
0,80,0,0.0125,0.0,0.0004229999999996181,[[ 2.22222482 -2.2221028 ]],-5.000417575626737,4.938011999292947
0,80,0,0.0125,0.0,0.0003860000000006636,[[ 2.00000536 -1.99999082]],-4.6000565683352574,3.999992370661936
0,80,0,0.0,0.1,0.0003809999999999647,[[ 2.2 -2.5]],-4.030006408691406,5.545
0,80,0,0.0125,0.0,0.0004240000000006461,[[ 1.99883531 -1.99990712]],-4.593908402661154,3.997485545377459
0,80,0,0.0125,0.0,0.00038499999999963563,[[ 2.35341262 -1.95982321]],-6.456675835744208,4.689729002098292
0,80,0,0.0125,0.0,0.00036799999999992394,[[ 2.22228487 -2.22170381]],-5.001822699266725,4.937258923233916
0,80,0,0.0125,0.0,0.0003700000000002035,[[ 2.2217839  -2.21782008]],-5.011597553836878,4.927524804453263
0,80,0,0.0,0.05,0.0003909999999995861,[[ 2.25660518 -2.10188719]],-5.541520184455425,4.755098349807371
0,80,0,0.0125,0.05,0.00044199999999960937,[[ 1.96820466 -2.29479411]],-3.5632875866159317,4.569954797188981
0,80,0,0.0,0.1,0.00047499999999978115,[[ 2.10475784 -2.45712355]],-3.6606748577212307,5.233730853522257
0,80,0,0.0125,0.0,0.00045399999999951035,[[ 2.29180777 -1.90983067]],-6.309387878472187,4.449918032811545
0,80,0,0.0,0.05,0.00041500000000027626,[[ 2.22214827 -2.22221316]],-4.999632255256939,4.938087122643706
0,80,0,0.0125,0.0,0.00038399999999949586,[[ 1.99999388 -2.00000612]],-4.599953402706417,4.000000000037441
0,80,5,0.075,0.0,0.00047099999999922204,[[ 1.5 -2. ]],-1.999999046325681,3.124999999999998
0,80,5,0.0625,0.0,0.00047099999999922204,[[ 1.81838162 -1.81764896]],-4.2753572017468136,3.3051797343865945
0,80,5,0.0125,0.2,0.0004350000000004073,[[ 2.22224656 -2.22212518]],-5.00041879739035,4.938110054970846
0,80,5,0.025,0.15,0.00043300000000012773,[[ 2.22196879 -2.22271406]],-4.996954297100084,4.938801545350722
0,80,5,0.0625,0.0,0.0006800000000000139,[[ 1.8178889  -1.81790272]],-4.272027500754634,3.3047451791830165
0,80,5,0.0625,0.0,0.0004289999999995686,[[ 1.81812251 -1.81812974]],-4.272570160630709,3.305582601407937
0,80,5,0.0375,0.1,0.0004660000000002995,[[ 2.22227919 -2.22273237]],-4.998648300858507,4.939531981494483
0,80,5,0.0375,0.1,0.0004879999999998219,[[ 2.20000214 -2.19999786]],-4.9400189181520116,4.840000000004568
0,80,5,0.05,0.05,0.000452000000000119,[[ 1.79672096 -1.83606515]],-4.100327189133379,3.299670708475345
0,80,5,0.05,0.05,0.00041600000000041604,[[ 1.81798889 -1.81868888]],-4.269985344502771,3.3063564149044558
0,80,5,0.0375,0.1,0.00043600000000054706,[[ 1.9 -1.7]],-5.0200023651123065,3.250000000000015
0,80,5,0.05,0.05,0.0005369999999995656,[[ 2.0003327  -1.49941232]],-6.153563739035749,3.124784099889708
0,80,5,0.0625,0.05,0.00044100000000035777,[[ 1.9 -2.1]],-3.67000198364257,4.009999999999991
0,80,5,0.05,0.05,0.0004199999999991988,[[ 2.0448327 -1.5904273]],-6.043615320370826,3.3553998734677446
