,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,80,0,0.0,0.0,0.0005689999999987094,[[ 2.22145062 -2.22233571]],-4.995372342645124,14.270013806718445,15
0,80,0,0.0,0.0,0.0005050000000039745,[[ 2.22225064 -2.22236967]],-4.999665356678359,16.38260885922635,17
0,80,0,0.0,0.0,0.0004749999999944521,[[ 2.22280956 -2.22229   ]],-5.002953222905529,15.16142281246811,16
0,80,0,0.0,0.0,0.00041699999999877946,[[ 2.22217521 -2.22224517]],-4.999667312574754,14.493706786900788,15
0,80,0,0.0,0.0,0.0004160000000013042,[[ 2.2218701  -2.22216165]],-4.998303149074222,16.16013653578235,17
0,80,0,0.0,0.050000000000000044,0.0004179999999962547,[[ 2.25545007 -2.55445499]],-4.1328978856961704,15.569518686799636,16
0,80,0,0.0,0.0,0.0003839999999968313,[[ 2.22720466 -2.24959915]],-4.9417851974386195,15.406706850075706,16
0,80,0,0.0,0.0,0.00037100000000123146,[[ 2.22228525 -2.22172454]],-5.001856982020527,16.160362149805685,18
0,80,0,0.0,0.0,0.0004160000000013042,[[ 2.22169164 -2.22169141]],-4.9987296548896465,14.71455897066534,16
0,80,0,0.0,0.050000000000000044,0.0005170000000020991,[[ 2.2 -2.5]],-4.030006408691406,13.995044860839828,14
0,80,0,0.012499999999999956,0.0,0.0003930000000025302,[[ 2.22222257 -2.4       ]],-4.466670454679614,15.615818560578159,16
0,80,0,0.0,0.0,0.0004940000000033251,[[ 2.22275466 -2.21795777]],-5.0156698427597375,16.37854734144213,17
0,80,0,0.0,0.0,0.0005050000000039745,[[ 2.22216268 -2.22186681]],-5.000883042525459,15.716506998177245,17
0,80,0,0.0,0.0,0.0003610000000122682,[[ 2.22218942 -2.22247999]],-4.999074700628066,14.71639608485928,16
0,80,0,0.0,0.0,0.0004210000000028913,[[ 2.25660518 -2.10188719]],-5.541520184455425,13.755127786911105,14
0,80,0,0.0,0.050000000000000044,0.0005189999999970496,[[ 2.17538157 -2.5969227 ]],-3.651063608139336,13.790469085329622,14
0,80,0,0.0,0.050000000000000044,0.00038499999999430656,[[ 2.10475784 -2.45712355]],-3.6606748577212307,14.880125238625512,15
0,80,0,0.0,0.0,0.00039200000000505497,[[ 2.30188626 -1.94339607]],-6.254717296055224,13.645300909372583,14
0,80,0,0.0,0.0,0.0004130000000088785,[[ 2.22214827 -2.22221316]],-4.999632255256939,14.938130034638304,17
0,80,0,0.0,0.0,0.00035700000000815635,[[ 2.10461518 -2.23692148]],-4.378159048288827,14.942779552028478,16
0,80,0,0.0,0.0,0.0004220000000003665,[[ 2.2222247 -2.2      ]],-5.07111876321102,13.48909933009561,14
0,80,0,0.0,0.0,0.0005179999999995744,[[ 2.21385604 -2.28923201]],-4.751282304592644,13.774109547205091,14
0,80,0,0.0,0.0,0.0004899999999992133,[[ 2.22307255 -2.2230772 ]],-5.0017093881584955,16.38285651470987,17
0,80,0,0.0,0.0,0.0004080000000072914,[[ 2.20000009 -2.30000003]],-4.650001925938,14.875012231751274,16
0,80,0,0.0,0.0,0.0004059999999981301,[[ 2.22223031 -2.22281909]],-4.998101557913265,14.493416016705059,16
0,80,0,0.0,0.0,0.00042499999999279225,[[ 2.22266424 -2.22266644]],-5.000920879769626,15.383042118944488,16
0,80,0,0.0,0.050000000000000044,0.0003569999999939455,[[ 1.93530272 -2.25882568]],-3.4806295293930667,14.13267470660364,14
0,80,0,0.0,0.0,0.00040300000000570435,[[ 2.22074045 -2.22152761]],-4.994452545580475,15.937834328223087,17
0,80,0,0.0,0.0,0.0004420000000067148,[[ 2.21691789 -2.26461474]],-4.847361675021664,15.233784606077425,16
0,80,0,0.0,0.0,0.00036199999999553256,[[ 2.22222271 -2.22177284]],-5.001503898985031,14.715988265112781,15
0,80,5,0.07499999999999996,0.0,0.00043999999999755346,[[ 1.5 -2. ]],-1.999999046325681,26.77498664855976,28
0,80,5,0.0625,0.0,0.0004500000000007276,[[ 1.81838162 -1.81764896]],-4.2753572017468136,30.940537385055098,28
0,80,5,0.012499999999999956,0.19999999999999996,0.00036800000000880573,[[ 2.22224656 -2.22212518]],-5.00041879739035,18.604849696609158,18
0,80,5,0.025000000000000022,0.15000000000000002,0.00043399999999849115,[[ 2.22196879 -2.22271406]],-4.996954297100084,20.936316084248016,19
0,80,5,0.0625,0.0,0.0005650000000088085,[[ 1.8178889  -1.81790272]],-4.272027500754634,25.03308824763895,26
0,80,5,0.0625,0.0,0.0004170000000129903,[[ 1.81812251 -1.81812974]],-4.272570160630709,23.578576035934766,27
0,80,5,0.03749999999999998,0.09999999999999998,0.00046799999999791453,[[ 2.22227919 -2.22273237]],-4.998648300858507,25.71553086443932,25
0,80,5,0.03749999999999998,0.09999999999999998,0.0004789999999985639,[[ 2.20000214 -2.19999786]],-4.9400189181520116,24.86001275804637,23
0,80,5,0.050000000000000044,0.050000000000000044,0.0003829999999993561,[[ 1.79672096 -1.83606515]],-4.100327189133379,22.81508116185089,26
0,80,5,0.050000000000000044,0.050000000000000044,0.00043700000000512773,[[ 1.81798889 -1.81868888]],-4.269985344502771,24.304155515718108,26
0,80,5,0.03749999999999998,0.09999999999999998,0.00046000000000390173,[[ 1.9 -1.7]],-5.0200023651123065,25.790028381347327,24
0,80,5,0.050000000000000044,0.050000000000000044,0.00046600000000296404,[[ 2.0003327  -1.49941232]],-6.153563739035749,21.624553943569225,25
0,80,5,0.0625,0.050000000000000044,0.0004540000000048394,[[ 1.9 -2.1]],-3.67000198364257,25.020023803711037,24
0,80,5,0.050000000000000044,0.050000000000000044,0.0005609999999904858,[[ 2.0448327 -1.5904273]],-6.043615320370826,25.038277346345737,25
0,80,5,0.050000000000000044,0.09999999999999998,0.00041899999999372994,[[ 1.5867734  -1.90410863]],-2.7133331900303967,20.755098899324672,24
0,80,5,0.0625,0.050000000000000044,0.00043200000000354066,[[ 1.64000753 -2.2949844 ]],-1.9217499992777902,21.320263900898535,24
0,80,5,0.050000000000000044,0.09999999999999998,0.0004529999999931533,[[ 1.38459066 -2.00031122]],-1.2911893515658868,21.712229694602314,25
0,80,5,0.050000000000000044,0.050000000000000044,0.0004809999999935144,[[ 1.99729728 -1.59964573]],-5.787640628453523,26.369792414231746,27
0,80,5,0.050000000000000044,0.050000000000000044,0.0004100000000022419,[[ 1.99930435 -1.99995118]],-4.596317328866523,24.197569022029192,25
0,80,5,0.050000000000000044,0.050000000000000044,0.0005559999999888987,[[ 1.66598585 -1.99917273]],-2.8988482154010184,21.622237600876968,25
0,80,5,0.050000000000000044,0.050000000000000044,0.0004330000000010159,[[ 1.81816837 -1.81821118]],-4.272564481720716,19.942131789486744,22
0,80,5,0.0625,0.050000000000000044,0.0004299999999943793,[[ 1.43076976 -2.14615349]],-0.9284720062271992,24.52122710748604,23
0,80,5,0.07499999999999996,0.0,0.00047800000000108867,[[ 1.62741784 -2.0931211 ]],-2.3225844428596205,28.443925161240767,27
0,80,5,0.0625,0.0,0.00070999999999799,[[ 1.81772903 -1.81773023]],-4.271576475560747,22.668514978628476,27
0,80,5,0.050000000000000044,0.09999999999999998,0.0004950000000008004,[[ 1.60098391 -2.08045189]],-2.2201568254564434,17.965408447812603,23
0,80,5,0.0625,0.0,0.000489000000001738,[[ 1.65194722 -1.8355045 ]],-3.239517068027711,29.239120605280107,29
0,80,5,0.050000000000000044,0.09999999999999998,0.0004979999999932261,[[ 1.60978102 -2.06972264]],-2.311049586478636,24.664600887700708,25
0,80,5,0.0625,0.0,0.0008860000000083801,[[ 1.81823051 -1.81822051]],-4.272880526435248,27.57870759648417,28
0,80,5,0.09999999999999998,0.0,0.0008189999999927977,[[ 1.48160673 -2.22222693]],-1.3710436451591743,25.529651759558547,26
0,80,5,0.050000000000000044,0.050000000000000044,0.0007030000000014525,[[ 1.9990317  -1.99991613]],-4.594902641432771,25.597248522443195,23
0,80,10,0.13749999999999996,0.0,0.00047800000000108867,[[ 1.30336613 -1.68538581]],-1.7865163141285438,40.121366735318816,40
0,80,10,0.13749999999999996,0.0,0.0004770000000036134,[[ 1.4 -1.7]],-2.3450031280517516,39.13005943298536,38
0,80,10,0.07499999999999996,0.19999999999999996,0.00046799999999791453,[[ 2.00018237 -1.99925719]],-4.403174286828079,30.998289794181844,29
0,80,10,0.07499999999999996,0.15000000000000002,0.00042400000000952787,[[ 1.37983358 -2.06821085]],-1.0738674537642792,28.571972483918024,29
0,80,10,0.11250000000000004,0.050000000000000044,0.0005090000000080863,[[ 1.35171892 -1.62068757]],-2.3834351045079005,33.691176840302184,34
0,80,10,0.11250000000000004,0.09999999999999998,0.0006199999999978445,[[ 1.66685031 -1.66656103]],-4.001356342421368,30.278238407571425,31
0,80,10,0.09999999999999998,0.15000000000000002,0.0005370000000084474,[[ 1.60036426 -1.99969888]],-2.52299481547246,34.042730102595684,35
0,80,10,0.09999999999999998,0.09999999999999998,0.0004270000000019536,[[ 1.66666932 -1.6666544 ]],-3.833389061068788,38.61114935873478,34
0,80,10,0.11250000000000004,0.09999999999999998,0.00044900000000325235,[[ 1.38875858 -1.94616035]],-1.4669923982251785,30.17260557557896,32
0,80,10,0.09999999999999998,0.15000000000000002,0.0005189999999970496,[[ 1.40494213 -1.56198178]],-2.901024403977786,31.619628779413354,32
0,80,10,0.08750000000000002,0.15000000000000002,0.0004950000000008004,[[ 2.05881877 -1.47064491]],-6.352744810021817,34.31849360136392,32
0,80,10,0.125,0.050000000000000044,0.0005050000000039745,[[ 1.53832976 -1.53862159]],-3.76808008026363,27.213925949394635,34
0,80,10,0.11250000000000004,0.050000000000000044,0.00047800000000108867,[[ 1.81767504 -1.45548217]],-5.357783997480016,37.54285560902665,36
0,80,10,0.09999999999999998,0.09999999999999998,0.0004310000000060654,[[ 1.53829788 -1.53844802]],-3.6145559277985293,34.213271029210674,36
0,80,10,0.11250000000000004,0.09999999999999998,0.000534999999999286,[[ 1.53823625 -1.5388368 ]],-3.766844923075291,25.674322267106543,30
0,80,10,0.11250000000000004,0.09999999999999998,0.0004270000000019536,[[ 1.53815272 -1.5391516 ]],-3.765354849899558,26.36441694185437,29
0,80,10,0.09999999999999998,0.15000000000000002,0.0005570000000005848,[[ 1.30356889 -1.73902462]],-1.6047930082711865,32.71037731261322,35
0,80,10,0.09999999999999998,0.09999999999999998,0.000484000000000151,[[ 1.87999956 -1.55999911]],-5.315999575805049,32.487986752315095,32
0,80,10,0.125,0.050000000000000044,0.00046000000000390173,[[ 1.51216766 -1.77703473]],-2.6436607252197537,31.935447545977006,32
0,80,10,0.09999999999999998,0.09999999999999998,0.00047000000000707587,[[ 1.59270376 -1.77020917]],-3.157167025086592,28.780963560340847,31
0,80,10,0.09999999999999998,0.15000000000000002,0.0004300000000085902,[[ 1.62188468 -1.44166406]],-4.460265812164074,28.913359654356668,29
0,80,10,0.11250000000000004,0.09999999999999998,0.00047800000000108867,[[ 1.36239891 -1.817602  ]],-1.631834571002878,30.76720451323819,32
0,80,10,0.125,0.050000000000000044,0.0006940000000099644,[[ 1.36329426 -1.96953566]],-1.2866396696836544,33.31056161850375,35
0,80,10,0.09999999999999998,0.15000000000000002,0.0006290000000035434,[[ 1.48159233 -1.85119861]],-2.484119439409068,25.145565767836867,28
0,80,10,0.08750000000000002,0.19999999999999996,0.0007030000000014525,[[ 1.35925601 -1.74757133]],-2.106989983633131,24.742132383783343,29
0,80,10,0.11250000000000004,0.050000000000000044,0.0005270000000052733,[[ 1.63514118 -1.68919765]],-3.7270372322156113,33.860876033921954,34
0,80,10,0.08750000000000002,0.19999999999999996,0.0005280000000027485,[[ 1.31604178 -2.10377299]],-0.6902755882933874,27.057061752557807,28
