,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,80,0,0.03296703296703296,0.04385964912280704,0.392976,"[[ 0.86183041  0.04698626 -0.03666378  0.00247662 -0.14823311 -0.19334547
  -0.56476442 -0.26277041 -0.17077187 -0.02464139 -0.14475472  1.04553255
   1.06116454 -0.14483249 -0.0332653  -0.00711255 -0.16021309 -0.04617778
  -0.00429777 -0.00584002 -0.10903205 -0.27336498 -0.20441452  0.00380155
  -0.32874145 -0.61022193 -1.65233379 -0.47916906 -0.51969947 -0.12200049]]",18.36469341550636,37.60443230170862,45
0,80,5,0.08131868131868136,0.07894736842105265,2.241874,"[[ 8.65042837e-01  3.08028983e-02 -5.56436900e-02 -3.32080535e-03
  -2.90291796e-01 -1.13432118e-01 -5.66152329e-01 -4.13882412e-01
  -3.27433753e-01 -4.49271477e-02 -4.36165859e-01  4.12050146e-01
   2.20938797e-01 -3.70665374e-02 -8.16705667e-02  9.71274346e-02
   1.91330007e-01 -3.78620041e-02 -9.51021051e-02 -9.25672671e-04
  -1.58963130e-01 -1.14484458e-01 -3.22760556e-02 -2.54236361e-04
  -6.23794121e-01 -5.18616006e-01 -1.06164004e+00 -6.88211968e-01
  -8.00808786e-01 -2.38550322e-01]]",5.194659189272072,94.25921363470427,113
0,80,10,0.1186813186813187,0.16666666666666663,7.549752000000001,"[[ 0.34569604  0.05687964  0.09104815 -0.00969123 -0.23286638  0.03778449
  -0.65639643 -0.40329806 -0.3153505  -0.02092726 -0.56410919  0.53067929
   0.09280979 -0.0268301  -0.06574387  0.06291553  0.0897548  -0.02589114
  -0.06768072 -0.00379457 -0.63451243 -0.11416778 -0.07760316  0.00879081
  -0.46593964 -0.33851993 -1.53910694 -0.70042735 -0.56436021 -0.23846432]]",7.479878822075419,149.54927414167742,158
0,80,15,0.17582417582417587,0.23684210526315785,18.296980000000005,"[[ 0.76268744  0.05511151 -0.04214535 -0.00428895 -0.07965388  0.07887212
  -0.49702669 -0.29074504 -0.40854038 -0.00761938 -0.54876258  0.44208082
  -0.32250409  0.00768796 -0.06106595  0.04605144  0.22779239  0.01542625
  -0.07978837  0.00598566 -0.58092757 -0.09646124 -0.00521366  0.00355625
  -0.23228472 -0.27623736 -1.22320511 -0.42106917 -0.59812425 -0.18757181]]",5.6355658013024525,182.93764894511654,203
0,80,20,0.22197802197802197,0.2543859649122807,29.965505,"[[ 1.03936552  0.0440915  -0.00807386 -0.0105092  -0.11201912 -0.01141089
  -0.30459561 -0.25203129 -0.4880719   0.00988679 -0.39129365  0.245598
  -0.0295255  -0.00627596 -0.09847793  0.0626512   0.41448929  0.04434957
  -0.05957811  0.02596755 -0.66075645 -0.06788814 -0.0188462   0.00566049
  -0.3784559  -0.68850569 -0.72685638 -0.41767671 -0.67619745 -0.1546107 ]]",2.806962757209803,231.94414079373107,248
0,80,25,0.2615384615384615,0.2894736842105263,16.776155000000003,"[[ 1.03195121e+00 -1.11330420e-02 -3.75091168e-02 -7.15782565e-03
  -4.20613022e-02  7.83175902e-04 -2.98530640e-01 -4.27253314e-01
  -1.94371179e-01  2.16405943e-02 -1.01230803e-01  2.94237389e-03
   1.37519997e-01 -1.67809344e-02 -1.02105551e-01  9.51267339e-02
   4.95344557e-01  1.43959852e-02 -4.37446614e-02  2.45447790e-02
  -9.05113131e-01 -1.15794468e-02 -2.22093736e-02  8.08210747e-03
  -4.14552558e-01 -7.37121130e-01 -6.10205987e-01 -7.92339226e-01
  -5.51412171e-01 -1.57767636e-01]]",5.401484448222281,250.66530106714092,285
0,80,30,0.3054945054945055,0.3421052631578947,9.044551999999996,"[[ 1.67510676  0.00982208 -0.09905884 -0.01044855 -0.16213498 -0.19686432
  -0.37683219 -0.46824854 -0.44717467 -0.02133922 -0.39218193 -0.21538933
   0.41011069 -0.01595739 -0.08858662  0.11509155  0.6188619   0.09870999
  -0.05427215  0.03134874 -0.8477393  -0.00679101 -0.01387643  0.00719679
  -0.43605178 -0.61538216 -0.55235269 -0.46601394 -0.56835011 -0.14695066]]",2.11049726318995,274.93392216909643,319
0,70,0,0.042713567839196,0.040935672514619936,1.3597070000000002,"[[ 0.68142033  0.05890534 -0.03389135  0.00271787 -0.13811976 -0.18928486
  -0.55776812 -0.25200927 -0.15873132 -0.03817319 -0.09939603  0.82359946
   1.21459225 -0.14977158 -0.03533341 -0.02461928 -0.16683158 -0.04399567
  -0.0116164  -0.01076624 -0.71007679 -0.27531021 -0.17205769  0.00877837
  -0.29216487 -0.62137072 -1.50758533 -0.46932997 -0.62232195 -0.1547709 ]]",22.67459208033698,34.44847365563637,41
0,70,5,0.07286432160804024,0.09941520467836262,2.011751000000004,"[[ 0.72824712 -0.01678214  0.05839787 -0.01032706 -0.27571489 -0.14750369
  -0.52759124 -0.35435533 -0.27985012 -0.06002145 -0.3119496   0.15273241
   0.42169042 -0.04739467 -0.06592405  0.09772685  0.20090427 -0.0106205
  -0.05916576 -0.00677926 -0.2487012  -0.07696698 -0.09011047  0.00403938
  -0.49478969 -0.78992757 -1.23219911 -0.55694283 -0.78277656 -0.26565098]]",5.167269109188291,75.6718105736158,91
0,70,10,0.1080402010050251,0.16374269005847952,8.111057000000002,"[[ 1.61467200e-01  1.43022645e-02  1.26260924e-01 -9.37404613e-03
  -1.92221335e-01  5.98173602e-02 -6.17254924e-01 -3.30331278e-01
  -3.60124407e-01  9.74675910e-03 -6.08095513e-01  3.54212076e-01
  -1.31907837e-01 -4.88412656e-03 -5.45748847e-02  4.14290018e-02
   1.06342208e-01 -1.40516644e-03 -6.14952753e-02 -1.93780403e-03
  -1.03004497e+00 -7.97498101e-02 -4.23811305e-02  9.21304912e-03
  -3.42384659e-01 -3.72667564e-01 -1.90904147e+00 -5.77309615e-01
  -6.52503063e-01 -1.82685183e-01]]",9.047107501060344,127.13722572352007,137
