,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Standard Deviation,Features
0,80,0,0.0,0.0,0.0009019999999964057,0,0.01,2
0,80,0,0.0,0.0,0.0004799999999818283,0,0.01,2
0,80,0,0.0,0.0,0.0007860000000050604,0,0.01,2
0,80,0,0.0,0.0,0.0006410000000300897,0,0.01,2
0,80,0,0.0,0.0,0.0009210000000052787,0,0.01,2
0,80,0,0.0,0.0,0.0007690000000479813,0,0.01,2
0,80,0,0.0,0.0,0.000638000000037664,0,0.01,2
0,80,0,0.0,0.0,0.0005859999999984211,0,0.01,2
0,80,0,0.0,0.0,0.0006720000000086657,0,0.01,2
0,80,0,0.0,0.0,0.0006040000000098189,0,0.01,2
0,80,0,0.0,0.0,0.0007600000000138607,0,0.01,2
0,80,0,0.0,0.0,0.0006130000000439395,0,0.01,2
0,80,0,0.0,0.0,0.0008769999999458378,0,0.01,2
0,80,0,0.0,0.0,0.0008899999999698593,0,0.01,2
0,80,0,0.0,0.0,0.001048000000025695,0,0.01,2
0,80,0,0.0,0.0,0.0004230000000120526,0,0.01,2
0,80,0,0.0,0.0,0.0006309999999984939,0,0.01,2
0,80,0,0.0,0.0,0.0007369999999582433,0,0.01,2
0,80,0,0.0,0.0,0.0005959999999731735,0,0.01,2
0,80,0,0.0,0.0,0.0005709999999794491,0,0.01,2
0,80,0,0.0,0.0,0.0005689999999844986,0,0.01,2
0,80,0,0.0,0.0,0.0011279999999942447,0,0.01,2
0,80,0,0.0,0.0,0.0007060000000365108,0,0.01,2
0,80,0,0.0,0.0,0.0007299999999759166,0,0.01,2
0,80,0,0.0,0.0,0.0008970000000090295,0,0.01,2
0,80,0,0.0,0.0,0.0006279999999492247,0,0.01,2
0,80,0,0.0,0.0,0.0005429999999932988,0,0.01,2
0,80,0,0.0,0.0,0.000864000000035503,0,0.01,2
0,80,0,0.0,0.0,0.0005439999999907741,0,0.01,2
0,80,0,0.0,0.0,0.000684000000035212,0,0.01,2
0,80,0,0.0,0.0,0.0009459999999990032,0,0.01,2
0,80,0,0.0,0.0,0.0006500000000073669,0,0.01,2
0,80,0,0.0,0.0,0.0005409999999983484,0,0.01,2
0,80,0,0.0,0.0,0.0008619999999837091,0,0.01,2
0,80,0,0.0,0.0,0.0008060000000114087,0,0.01,2
