,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,80,0,0.15000000000000002,0.050000000000000044,0.0006999999999948159,[[ 0.49051053 -1.80567688]],8.801527684269557,1.750534793791573
0,80,5,0.17500000000000004,0.09999999999999998,0.0005189999999970496,[[ 0.41625482 -1.73067644]],8.860207463692307,1.5842545034328301
0,80,10,0.21250000000000002,0.09999999999999998,0.00048599999999510146,[[ 0.1904269  -1.37073461]],7.923887400585407,0.9575878891443163
0,80,15,0.23750000000000004,0.15000000000000002,0.000461000000001377,[[ 0.13521705 -1.3060752 ]],7.9209693462372925,0.8620580383103094
0,80,20,0.275,0.25,0.0004680000000121254,[[ 0.07389473 -1.22650889]],7.758889019982371,0.7548922502180809
0,80,25,0.3125,0.25,0.00048300000000267573,[[ 0.12746545 -0.91736577]],5.612254904126092,0.4289036999847307
0,80,30,0.375,0.25,0.0005309999999951742,[[ 0.10130216 -0.79964469]],4.856102343628808,0.32484687800708417
0,70,0,0.17142857142857137,0.06666666666666665,0.0005279999999743268,[[ 0.23587098 -1.6937612 ]],9.512552879438836,1.4622310579714088
0,70,5,0.17142857142857137,0.1333333333333333,0.00040999999998803105,[[ 0.41616976 -1.73068176]],8.860687113361683,1.5842283158244508
0,70,10,0.18571428571428572,0.16666666666666663,0.0004889999999875272,[[ 0.1788394  -1.37192976]],7.988876230192236,0.9570874003987431
0,70,15,0.19999999999999996,0.23333333333333328,0.0004480000000057771,[[ 0.06178246 -1.30594809]],8.278989726064395,0.8546587413263217
0,70,20,0.27142857142857146,0.30000000000000004,0.0004299999999943793,[[ 0.07147567 -1.16319761]],7.371777589730286,0.6790687309292842
0,70,25,0.3142857142857143,0.30000000000000004,0.000438000000002603,[[ 0.13845326 -0.8712342 ]],5.197088772588562,0.38910917195018596
0,70,30,0.3857142857142857,0.2666666666666667,0.0004320000000177515,[[ 0.10100065 -0.79218766]],4.797332768855526,0.3188812127082603
0,60,0,0.15000000000000002,0.09999999999999998,0.0004820000000052005,[[ 0.47208855 -1.52562676]],7.159388729373019,1.2752022999422794
0,60,5,0.1333333333333333,0.19999999999999996,0.00046500000001969966,[[ 0.34107136 -1.38846198]],7.270186895353521,1.022078166582124
0,60,10,0.16666666666666663,0.19999999999999996,0.0003999999999848569,[[ 0.43365525 -1.23339002]],5.589942027708371,0.8546539039691264
0,60,15,0.18333333333333335,0.275,0.0003789999999810334,[[ 0.16418906 -1.26110345]],7.4253596043020345,0.8086699745711098
0,60,20,0.2666666666666667,0.32499999999999996,0.0004749999999944521,[[ 0.15188305 -1.0924022 ]],6.491642454649729,0.6082055129099845
0,60,25,0.33333333333333337,0.35,0.00043999999999755346,[[ 0.21050432 -0.82377493]],4.407503224799528,0.36145860502884675
0,60,30,0.3833333333333333,0.32499999999999996,0.00044900000000325235,[[ 0.16606705 -0.75977851]],4.199516814656106,0.30242082361030825
0,50,0,0.16000000000000003,0.12,0.00035499999998478415,[[ 0.55704983 -1.59364636]],7.201822960188477,1.425006619057501
0,50,5,0.14,0.18000000000000005,0.0003330000000119071,[[ 0.3672815  -1.45167667]],7.501050949096677,1.1211304245676137
0,50,10,0.14,0.24,0.0004500000000007276,[[ 0.36582845 -1.34583413]],6.812935021590846,0.9725499736764034
0,50,15,0.16000000000000003,0.28,0.0003580000000056316,[[ 0.16711952 -1.30036051]],7.642535236910132,0.8594331903148478
0,50,20,0.19999999999999996,0.33999999999999997,0.00035299999998983367,[[ 0.16446769 -1.26164509]],7.427140598590026,0.8093989821519543
0,50,25,0.31999999999999995,0.33999999999999997,0.0004899999999850024,[[ 0.21857313 -0.85274231]],4.523065443660828,0.38747182896872395
0,50,30,0.38,0.36,0.00038499999999430656,[[ 0.15568149 -0.78517794]],4.383363628775439,0.32037056372290695
0,80,0,0.0,0.0,0.00048000000001025,[[-0.39902577 -0.42968493]],3.2199107393390363,0.1719253485790583
0,80,5,0.050000000000000044,0.050000000000000044,0.00042600000000447835,[[-0.47175001 -0.26677244]],2.5728661705560607,0.1468578039054135
0,80,10,0.08750000000000002,0.15000000000000002,0.00045099999999820284,[[-0.46985992 -0.22092164]],2.3709837884678127,0.13478735757257518
0,80,15,0.15000000000000002,0.15000000000000002,0.0004619999999988522,[[-0.38331428 -0.19140865]],1.9032891835188817,0.09178355425727111
0,80,20,0.21250000000000002,0.15000000000000002,0.0005349999999850752,[[-0.28898631 -0.21926433]],1.8106819980295097,0.06579496659458195
0,80,25,0.26249999999999996,0.19999999999999996,0.0009119999999995798,[[-0.24855367 -0.23685685]],1.7812951842173848,0.058940046561831626
0,80,30,0.30000000000000004,0.30000000000000004,0.0006750000000010914,[[-0.24817745 -0.23481906]],1.7657200714289394,0.05836601941934298
0,70,0,0.0,0.0,0.00044199999999250394,[[-0.39902576 -0.42968492]],3.2199107181628,0.17192534631767153
0,70,5,0.05714285714285716,0.033333333333333326,0.00040300000000570435,[[-0.45361228 -0.25659757]],2.5126689485384817,0.13580320645910943
0,70,10,0.08571428571428574,0.1333333333333333,0.0004749999999944521,[[-0.44777653 -0.25330701]],2.493243519552063,0.13233413168509153
0,70,15,0.15714285714285714,0.1333333333333333,0.0007459999999923639,[[-0.35927712 -0.20456252]],1.8897900745547016,0.08546293534744648
0,70,20,0.22857142857142854,0.1333333333333333,0.0005229999999869506,[[-0.26172668 -0.24121196]],1.8448426104764288,0.06334203364020685
0,70,25,0.22857142857142854,0.30000000000000004,0.0004999999999881766,[[-0.26172668 -0.24121196]],1.8448426104764288,0.06334203364020685
0,70,30,0.27142857142857146,0.3666666666666667,0.0006280000000060681,[[-0.24770102 -0.23731673]],1.7807155546710896,0.05883751194819707
0,60,0,0.0,0.0,0.0003309999999885349,[[-0.39902576 -0.42968492]],3.219910719410779,0.17192534645094187
0,60,5,0.050000000000000044,0.050000000000000044,0.0003719999999987067,[[-0.40904714 -0.31962279]],2.748519632626298,0.13473914790331545
0,60,10,0.08333333333333337,0.125,0.0004179999999962547,[[-0.39105035 -0.29167238]],2.5053120525663206,0.11899657665981211
0,60,15,0.15000000000000002,0.15000000000000002,0.0004020000000082291,[[-0.35908421 -0.20472798]],1.890053660880339,0.08542750932412513
0,60,20,0.23333333333333328,0.15000000000000002,0.00046000000000390173,[[-0.25954202 -0.24385015]],1.8538121677612451,0.06341247663073629
0,60,25,0.23333333333333328,0.275,0.0004920000000083746,[[-0.25954202 -0.24385015]],1.8538121677612451,0.06341247663073629
0,60,30,0.2666666666666667,0.35,0.00046300000002474917,[[-0.24878909 -0.23669654]],1.7810862076141085,0.05896063253407817
0,50,0,0.0,0.0,0.0003609999999980573,[[-0.30236364 -0.38841688]],2.628760035348483,0.1211457217410698
0,50,5,0.040000000000000036,0.06000000000000005,0.00033200000001443186,[[-0.33342957 -0.35451271]],2.585187902214536,0.11842727028944265
0,50,10,0.07999999999999996,0.12,0.0003370000000018081,[[-0.2631814  -0.37094752]],2.5114785390815944,0.10343325636784179
0,50,15,0.16000000000000003,0.14,0.00036599999998543353,[[-0.29338859 -0.23472048]],1.8772910305308086,0.07058528463828469
0,50,20,0.26,0.14,0.0003770000000145046,[[-0.15047329 -0.33963304]],2.049021349826986,0.06899640789930334
0,50,25,0.26,0.24,0.00035900000000310683,[[-0.15047329 -0.33963304]],2.049021349826986,0.06899640789930334
0,50,30,0.28,0.31999999999999995,0.00042100000001710214,[[-0.07250767 -0.41795277]],2.257560816810775,0.08997093808803087
0,80,0,0.0,0.0,0.0004270000000019536,[[0.00533146 1.31705992]],-2.9083873261523827,0.8673376259558855
0,80,5,0.0625,0.0,0.00038699999998925705,[[0.15879185 0.72488108]],-2.557217766316809,0.2753337147240207
0,80,10,0.09999999999999998,0.09999999999999998,0.00040999999998803105,[[0.19108037 0.64362593]],-2.5150676092453677,0.22538302391277187
0,80,15,0.15000000000000002,0.15000000000000002,0.00047400000002539855,[[0.25307756 0.48922358]],-2.48445622879723,0.15169397875599488
0,80,20,0.1875,0.25,0.0004660000000171749,[[0.00683573 0.56305042]],-1.367484662036044,0.1585362522903969
0,80,25,0.22499999999999998,0.35,0.0004950000000008004,[[0.1266935  0.45605883]],-1.6929780298158608,0.11202045042335616
0,80,30,0.275,0.4,0.000506999999998925,[[0.07976814 0.43316153]],-1.4408681374906358,0.09699593586671315
0,70,0,0.0,0.0,0.00031099999998218664,[[0.00533142 1.31705989]],-2.908387122197372,0.8673375940874246
0,70,5,0.05714285714285716,0.033333333333333326,0.00036399999999048305,[[0.37923686 0.68637941]],-3.5403922106205123,0.3074686448405739
