,Training,Noise,Training Error,Testing Error,Time Count,Number of SV,Features
0,80,0,0.0,0.0,0.000980000000000203,3,2
0,70,0,0.0,0.0,0.0004670000000004393,2,2
0,60,0,0.0,0.0,0.00042099999999933857,2,2
0,50,0,0.0,0.0,0.0007510000000001682,2,2
0,80,0,0.0,0.0,0.000674999999999315,2,2
0,70,0,0.0,0.0,0.000396000000000285,2,2
0,60,0,0.0,0.0,0.0004189999999999472,2,2
0,50,0,0.0,0.0,0.00041699999999966764,2,2
0,80,0,0.0,0.0,0.0006329999999996616,2,2
0,70,0,0.0,0.0,0.00039500000000014523,2,2
0,60,0,0.0,0.0,0.0003809999999999647,2,2
0,50,0,0.0,0.0,0.00039599999999939683,2,2
0,80,0,0.0,0.0,0.0005459999999999354,2,2
0,70,0,0.0,0.0,0.0004469999999994201,2,2
0,60,0,0.0,0.0,0.0005610000000002557,2,2
0,50,0,0.0,0.0,0.0005079999999999529,2,2
0,80,0,0.0,0.0,0.0006360000000000809,3,2
0,70,0,0.0,0.0,0.0004450000000000287,3,2
0,60,0,0.0,0.0,0.0003380000000001715,2,2
0,50,0,0.0,0.0,0.0005139999999999034,2,2
0,80,0,0.0,0.019230769230769273,0.000610999999999251,28,2
0,70,0,0.0,0.012987012987012991,0.0005379999999997054,27,2
0,60,0,0.0,0.009708737864077666,0.0005810000000003868,24,2
0,50,0,0.0,0.0078125,0.000460000000000349,22,2
0,80,0,0.0,0.0,0.0005090000000000927,2,2
0,70,0,0.0,0.0,0.0004340000000002675,2,2
0,60,0,0.0,0.0,0.0005319999999997549,2,2
0,50,0,0.0,0.0,0.0004070000000000462,2,2
0,80,0,0.0,0.0,0.0004980000000003315,2,2
0,70,0,0.0,0.0,0.0003979999999996764,2,2
0,60,0,0.0,0.0,0.00035699999999927456,2,2
0,50,0,0.0,0.0,0.00042600000000003746,2,2
0,80,0,0.0,0.0,0.00044399999999988893,2,2
0,70,0,0.0,0.0,0.0004149999999993881,2,2
0,60,0,0.0,0.0,0.00034599999999951336,2,2
0,50,0,0.0,0.0,0.00037800000000043354,2,2
0,80,0,0.0,0.0,0.00044299999999974915,2,2
0,70,0,0.0,0.0,0.000396000000000285,2,2
0,60,0,0.0,0.0,0.0003590000000004423,2,2
0,50,0,0.0,0.0,0.0003479999999997929,2,2
0,80,0,0.0,0.0,0.0004020000000002355,2,2
0,70,0,0.0,0.0,0.0003390000000003113,2,2
0,60,0,0.0,0.0,0.0003650000000003928,3,2
0,50,0,0.0,0.0,0.00032399999999999096,3,2
0,80,0,0.0,0.0,0.00036199999999997345,2,2
0,70,0,0.0,0.0,0.0003429999999999822,2,2
0,60,0,0.0,0.0,0.0004509999999999792,2,2
0,50,0,0.0,0.0,0.000344000000000122,2,2
0,80,0,0.0,0.0,0.00042000000000008697,2,2
0,70,0,0.0,0.0,0.0003370000000000317,2,2
0,60,0,0.0,0.0,0.0003270000000004103,3,2
0,50,0,0.0,0.0,0.000764000000000209,3,2
0,80,0,0.0,0.0,0.00041500000000027626,2,2
0,70,0,0.0,0.0,0.00041600000000041604,2,2
0,60,0,0.0,0.0,0.00038300000000024426,2,2
0,50,0,0.0,0.0,0.0006490000000001217,2,2
0,80,0,0.0,0.0,0.00042600000000003746,2,2
0,70,0,0.0,0.0,0.0004710000000001102,2,2
0,60,0,0.0,0.0,0.00041000000000046555,2,2
0,50,0,0.0,0.0,0.000452000000000119,2,2
0,80,0,0.0,0.0,0.0004450000000000287,2,2
0,70,0,0.0,0.0,0.0005959999999998189,2,2
0,60,0,0.0,0.0,0.0004220000000003665,2,2
0,50,0,0.0,0.0,0.0005650000000008149,2,2
0,80,0,0.0,0.0,0.00044100000000035777,2,2
0,70,0,0.0,0.0,0.0004110000000006053,2,2
0,60,0,0.0,0.0,0.00039800000000056457,2,2
0,50,0,0.0,0.0,0.0004110000000006053,2,2
0,80,0,0.0,0.0,0.0004240000000006461,2,2
0,70,0,0.0,0.0,0.0003979999999996764,2,2
0,60,0,0.0,0.0,0.00040599999999990644,2,2
0,50,0,0.0,0.0,0.0003700000000002035,2,2
0,80,0,0.0,0.0,0.0004070000000000462,2,2
0,70,0,0.0,0.0,0.00040500000000065484,2,2
0,60,0,0.0,0.0,0.0005930000000002877,2,2
0,50,0,0.0,0.0,0.0006029999999999092,2,2
0,80,0,0.0,0.0,0.0005720000000000169,2,2
0,70,0,0.0,0.0,0.000592000000000148,2,2
0,60,0,0.0,0.0,0.000492000000000381,2,2
0,50,0,0.0,0.0,0.0005060000000005616,2,2
0,80,0,0.0,0.0,0.00041600000000041604,2,2
0,70,0,0.0,0.0,0.0003700000000002035,2,2
0,60,0,0.0,0.0,0.0004239999999997579,2,2
0,50,0,0.0,0.0,0.0007530000000004478,3,2
0,80,0,0.0,0.0,0.000588000000000477,2,2
0,70,0,0.0,0.0,0.0004019999999993473,3,2
0,60,0,0.0,0.0,0.00043099999999984817,2,2
0,50,0,0.0,0.0,0.00037299999999973465,2,2
0,80,0,0.0,0.0,0.0004030000000003753,2,2
0,70,0,0.0,0.0,0.00041500000000027626,2,2
0,60,0,0.0,0.0,0.00041599999999952786,2,2
0,50,0,0.0,0.0,0.000408000000000186,2,2
0,80,0,0.0,0.0,0.000890999999999309,2,2
0,70,0,0.0,0.0,0.00042099999999933857,2,2
0,60,0,0.0,0.0,0.0004020000000002355,2,2
0,50,0,0.0,0.0,0.0009149999999999991,2,2
0,80,0,0.0,0.0,0.0007190000000001362,2,2
0,70,0,0.0,0.0,0.00042700000000017724,2,2
0,60,0,0.0,0.0,0.0004629999999998802,2,2
0,50,0,0.0,0.0,0.00039400000000000546,2,2
0,80,0,0.0,0.0,0.0005430000000004043,2,2
0,70,0,0.0,0.0,0.0003790000000005733,2,2
0,60,0,0.0,0.0,0.0003869999999999152,2,2
0,50,0,0.0,0.0,0.0004020000000002355,2,2
0,80,0,0.0,0.0,0.0006599999999998829,2,2
0,70,0,0.0,0.0,0.00043799999999993844,2,2
0,60,0,0.0,0.0,0.00042600000000003746,2,2
0,50,0,0.0,0.0,0.0007470000000004973,2,2
0,80,0,0.0,0.0,0.0004679999999996909,3,2
0,70,0,0.0,0.0,0.0004129999999999967,3,2
0,60,0,0.0,0.0,0.00042100000000022675,2,2
0,50,0,0.0,0.0,0.00039899999999981617,2,2
0,80,0,0.0,0.0,0.0006119999999993908,2,2
0,70,0,0.0,0.0,0.0003909999999995861,2,2
0,60,0,0.0,0.0,0.0004509999999999792,2,2
0,50,0,0.0,0.0,0.000484000000000151,2,2
0,80,0,0.0,0.0,0.0004399999999993298,2,2
0,70,0,0.0,0.0,0.00038800000000005497,2,2
0,60,0,0.0,0.0,0.000408000000000186,2,2
0,50,0,0.0,0.0,0.0004010000000000957,2,2
0,80,0,0.0,0.0,0.0004550000000005383,2,4
0,70,0,0.0,0.0,0.0005550000000003052,2,4
0,60,0,0.0,0.0,0.0007210000000004158,2,4
0,50,0,0.0,0.0,0.00041000000000046555,2,4
0,80,0,0.0,0.0,0.00043199999999998795,2,4
0,70,0,0.0,0.0,0.0006669999999999732,2,4
0,60,0,0.0,0.0,0.0005399999999999849,2,4
0,50,0,0.0,0.0,0.00041099999999971715,2,4
0,80,0,0.0,0.0,0.0004460000000001685,3,4
0,70,0,0.0,0.0,0.0004020000000002355,2,4
0,60,0,0.0,0.0,0.0004770000000000607,2,4
0,50,0,0.0,0.0,0.0004189999999999472,2,4
0,80,0,0.0,0.0,0.0005049999999995336,3,4
0,70,0,0.0,0.0,0.0004229999999996181,3,4
0,60,0,0.0,0.0,0.00041699999999966764,2,4
0,50,0,0.0,0.0,0.000544000000000544,2,4
0,80,0,0.0,0.0,0.0005470000000000752,2,4
0,70,0,0.0,0.0,0.00047999999999959186,2,4
0,60,0,0.0,0.0,0.00043799999999993844,2,4
0,50,0,0.0,0.0,0.0004110000000006053,2,4
0,80,0,0.0,0.0,0.0006870000000001042,2,4
0,70,0,0.0,0.0,0.0006630000000003022,2,4
0,60,0,0.0,0.0,0.0004299999999997084,2,4
0,50,0,0.0,0.0,0.00046400000000001995,2,4
0,80,0,0.0,0.0,0.0004849999999994026,2,4
0,70,0,0.0,0.0,0.0005850000000000577,2,4
0,60,0,0.0,0.0,0.0004129999999999967,3,4
0,50,0,0.0,0.0,0.0005070000000007013,3,4
0,80,0,0.0,0.0,0.0004939999999997724,2,4
0,70,0,0.0,0.0,0.0003709999999994551,2,4
0,60,0,0.0,0.0,0.00040499999999976666,3,4
0,50,0,0.0,0.0,0.00042700000000017724,3,4
0,80,0,0.0,0.0,0.0004390000000000782,2,4
0,70,0,0.0,0.0,0.0004240000000006461,3,4
0,60,0,0.0,0.0,0.0005009999999998627,3,4
0,50,0,0.0,0.0,0.0004610000000004888,3,4
0,80,0,0.0,0.0,0.00045900000000020924,3,4
0,70,0,0.0,0.0,0.00037799999999954537,3,4
0,60,0,0.0,0.0,0.0004550000000005383,3,4
0,50,0,0.0,0.0,0.0004189999999999472,3,4
