,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,80,0,0.0,0.0,19.726642999999967,16.998823805561653,19,2097152
0,70,0,0.0,0.0,16.88545299999987,16.99882066575646,19,2097152
0,60,0,0.0,0.0,14.919020000000273,16.998834342496973,19,2097152
0,50,0,0.0,0.0,12.440405999999712,16.99883207086804,19,2097152
0,80,0,0.0,0.0,20.469081999999617,16.998826771271933,20,2097152
0,70,0,0.0,0.0,16.310997999999927,15.99883064057967,18,2097152
0,60,0,0.0,0.0,14.958227000000079,16.998848056357918,19,2097152
0,50,0,0.0,0.0,12.430113999999776,16.998841938504665,19,2097152
0,80,0,0.0,0.0,19.606073999999353,15.99884426561134,18,2097152
0,70,0,0.0,0.0,17.206465999999637,16.99883693391535,19,2097152
0,60,0,0.0,0.0,15.49273600000015,16.998862309936115,20,2097152
0,50,0,0.0,0.0,11.400996999999734,16.99884284267345,19,2097152
0,80,0,0.0,0.0,19.75251500000013,16.998836955168787,19,2097152
0,70,0,0.0,0.0,17.391889999999876,16.998838130713185,19,2097152
0,60,0,0.0,0.0,15.07313300000078,16.998840696368855,19,2097152
0,50,0,0.0,0.0,12.595148999999765,16.99883617717546,19,2097152
0,80,0,0.0,0.0,18.79490100000021,14.998842078347566,17,2097152
0,70,0,0.0,0.0,17.21447199999966,16.998845124589895,19,2097152
0,60,0,0.0,0.0,14.896798000001581,16.998844661487908,19,2097152
0,50,0,0.0,0.0,12.777995000000374,16.99884080751602,19,2097152
0,80,0,0.0,0.0,19.722404999998616,16.998834491185363,19,2097152
0,70,0,0.0,0.0,17.154214000000138,15.998832400314603,18,2097152
0,60,0,0.0,0.0,14.892997000000832,16.998829202695674,19,2097152
0,50,0,0.0,0.0,12.286702000001242,16.99883894623485,19,2097152
0,80,0,0.0,0.0,19.628202999998393,16.998845767223187,19,2097152
0,70,0,0.0,0.0,17.280511000000843,16.998844697749877,19,2097152
0,60,0,0.0,0.0,14.797816000000239,16.99884267195023,19,2097152
0,50,0,0.0,0.0,12.472218999999313,16.998840194371677,19,2097152
0,80,0,0.0,0.0,19.290752999999313,16.99882352251885,19,2097152
0,70,0,0.0,0.0,17.306225000000268,16.998823343412678,19,2097152
0,60,0,0.0,0.0,14.795960000001287,16.998825276955614,19,2097152
0,50,0,0.0,0.0,12.41328600000088,16.998833644596775,19,2097152
0,80,0,0.0,0.0,19.427072999998927,16.99884537186724,19,2097152
0,70,0,0.0,0.0,17.202330000000075,16.99883653797099,19,2097152
0,60,0,0.0,0.0,14.665090000000419,16.998837811781026,19,2097152
0,50,0,0.0,0.0,13.712767000000895,16.998836638676668,19,2097152
0,80,0,0.0,0.0,19.42811900000015,16.99882594049893,19,2097152
0,70,0,0.0,0.0,17.246280999999726,16.99882619142064,19,2097152
0,60,0,0.0,0.0,14.72529299999951,16.99883013686607,19,2097152
0,50,0,0.0,0.0,12.469080999999278,16.998842670636495,19,2097152
0,80,0,0.0,0.0,19.532767000000604,15.998845442518451,18,2097152
0,70,0,0.0,0.0,17.029609000001074,16.998838654166214,19,2097152
0,60,0,0.0,0.0,14.885505000000194,16.99883503324335,19,2097152
0,50,0,0.0,0.0,12.469307999999728,16.998839118541948,19,2097152
0,80,0,0.0,0.0,19.275299999999334,16.998834963396256,19,2097152
0,70,0,0.0,0.0,17.9439080000011,16.99883118218529,20,2097152
0,60,0,0.0,0.0,15.446259999998802,16.998831604376694,20,2097152
0,50,0,0.0,0.0,13.12413800000104,16.998831466727648,20,2097152
0,80,0,0.0,0.0,19.69172299999991,16.998823211744853,19,2097152
0,70,0,0.0,0.0,17.295704000000114,16.998825653658447,19,2097152
0,60,0,0.0,0.0,14.865991999999096,16.998831337163757,19,2097152
0,50,0,0.0,0.0,12.185308000000077,16.998839052948334,19,2097152
0,80,0,0.0,0.0,20.312294000001202,16.998826038747012,20,2097152
0,70,0,0.0,0.0,18.055763000000297,16.998823109182695,20,2097152
0,60,0,0.0,0.0,15.419550000000527,16.998833164519873,20,2097152
0,50,0,0.0,0.0,12.544357000000673,16.998836361397263,19,2097152
0,80,0,0.0,0.0,19.567587999999887,16.998817988587778,19,2097152
0,70,0,0.0,0.0,17.154404999999315,15.998825375658866,18,2097152
0,60,0,0.0,0.0,14.77747399999862,16.998816469266565,19,2097152
0,50,0,0.0,0.0,12.479551000000356,16.99882740324159,19,2097152
0,80,0,0.0,0.0,19.583682999998928,16.9988267783377,19,2097152
0,70,0,0.0,0.0,17.269876000000295,16.998820751331596,19,2097152
0,60,0,0.0,0.0,14.880055999999968,16.998820847180053,19,2097152
0,50,0,0.0,0.0,12.005536000000575,16.998825534351308,19,2097152
0,80,0,0.0,0.0,18.886489999998958,15.998831575212675,18,2097152
0,70,0,0.0,0.0,17.2416949999988,16.998831654740467,19,2097152
0,60,0,0.0,0.0,14.77545199999986,16.998839067317945,19,2097152
0,50,0,0.0,0.0,12.097851000000446,16.998843052574202,19,2097152
0,80,0,0.0,0.0,20.415816000000632,16.998853083403695,20,2097152
0,70,0,0.0,0.0,18.06163100000049,15.998855068092528,19,2097152
0,60,0,0.0,0.0,15.410588999999163,16.99885216380388,20,2097152
0,50,0,0.0,0.0,13.054180000000997,15.998862753435198,19,2097152
0,80,0,0.0,0.0,19.42541700000038,16.998821871734005,19,2097152
0,70,0,0.0,0.0,16.78212800000074,16.998826990834043,20,2097152
0,60,0,0.0,0.0,15.513578000000052,16.998841693588705,20,2097152
0,50,0,0.0,0.0,12.437776000000667,16.998829017848507,19,2097152
0,80,0,0.0,0.0,20.06158300000061,16.99883308698818,20,2097152
0,70,0,0.0,0.0,17.71692400000029,16.99885459198576,20,2097152
0,60,0,0.0,0.0,15.280914999999368,16.998859032829124,20,2097152
0,50,0,0.0,0.0,13.077972999999474,16.998858930794352,20,2097152
0,80,0,0.0,0.0,20.391450000000987,15.998824306948809,19,2097152
