,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,80,0,0.0,0.0,0.0006140000000414148,1.6301948859532578,2,2
0,70,0,0.0,0.0,0.0005630000000564905,1.6301948863350262,2,2
0,60,0,0.0,0.0,0.0005590000000665896,1.6301948863060707,2,2
0,50,0,0.0,0.0,0.000559999999950378,1.6301948863237508,2,2
0,80,0,0.0,0.0,0.0005990000000792861,1.057479555242531,2,2
0,70,0,0.0,0.0,0.0005710000000362925,1.0574795552361227,2,2
0,60,0,0.0,0.0,0.0005179999999427309,1.0574375611033886,2,2
0,50,0,0.0,0.0,0.0004950000000008004,1.057437836512187,2,2
0,80,0,0.0,0.0,0.0005110000000740911,1.110962203107217,2,2
0,70,0,0.0,0.0,0.0005700000000388172,1.1110497422904198,2,2
0,60,0,0.0,0.0,0.0004940000000033251,1.111049742292869,2,2
0,50,0,0.0,0.0,0.0004519999999956781,1.1109875320412133,2,2
0,80,0,0.0,0.0,0.0005250000000387445,1.188495966563871,2,2
0,70,0,0.0,0.0,0.0004580000000942164,1.1882553657568198,2,2
0,60,0,0.0,0.0,0.0005439999999907741,1.1884138722006568,2,2
0,50,0,0.0,0.0,0.0004969999999957508,1.1884138721775734,2,2
0,80,0,0.0,0.0,0.000711000000023887,1.7151785342440378,2,2
0,70,0,0.0,0.0,0.0005820000000085201,1.7151785341872663,2,2
0,60,0,0.0,0.0,0.0007239999999910651,1.7151785343119845,2,2
0,50,0,0.0,0.0,0.0005019999999831271,1.715061845814938,2,2
0,80,0,0.0,0.0,0.0005449999999882493,9.056736032551353,2,2
0,70,0,0.0,0.0,0.0005300000000261207,9.056736051418047,2,2
0,60,0,0.0,0.0,0.0005340000000160217,9.056736002455274,2,2
0,50,0,0.0,0.0,0.00046900000006644404,9.05673602154883,2,2
0,80,0,0.0,0.0,0.0005770000000211439,1.2245533865967353,2,2
0,70,0,0.0,0.0,0.0005899999999883221,1.2245533863914135,2,2
0,60,0,0.0,0.0,0.0005879999999933716,1.2245533864491982,2,2
0,50,0,0.0,0.0,0.00045799999998052954,1.224553238483149,2,2
0,80,0,0.0,0.0,0.00045799999998052954,1.1493158225649174,2,2
0,70,0,0.0,0.0,0.0005859999999984211,1.1491434011095532,2,2
0,60,0,0.0,0.0,0.0005089999999654538,1.1492913707110735,2,2
0,50,0,0.0,0.0,0.0005370000000084474,1.1492892444656118,2,2
0,80,0,0.0,0.0,0.0006090000000540385,1.1046343802515306,2,2
0,70,0,0.0,0.0,0.0006750000000010914,1.1046343801224714,2,2
0,60,0,0.0,0.0,0.0006850000000895307,1.1046184640860424,2,2
0,50,0,0.0,0.0,0.0004900000000134241,1.104614900755431,2,2
