,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Standard Deviation
0,80,0,0.0,0.0,0.00044499999999914053,[[ 0.33808285 -1.06737412]],4.7783485611393495,0.6267937655419036,0.0001
0,80,0,0.0,0.0,0.0005459999999999354,[[ 0.23699309 -1.41986594]],7.593846702380567,1.0360925011390716,0.1
0,80,0,0.0,0.0,0.000506999999998925,[[ 0.37921768 -2.54901646]],13.921398350381137,3.320645480779303,0.3
0,80,0,0.012499999999999956,0.050000000000000044,0.0004199999999983106,[[ 0.56782743 -2.3841976 ]],11.561321258544922,3.0034131033064666,0.4
0,80,0,0.0,0.0,0.00043099999999896,[[-0.2392425  -0.23987036]],1.7255574530263345,0.05738738117170948,0.0001
0,80,0,0.0,0.0,0.00040899999999766123,[[-0.25426376 -0.25657807]],1.8588684143033123,0.06524118179715763,0.1
0,80,0,0.0,0.0,0.00040900000000476666,[[-0.29073831 -0.29808398]],2.188544917084762,0.0866914105823682,0.3
0,80,0,0.0,0.0,0.0004020000000011237,[[-0.3131623  -0.32427502]],2.3954569650473765,0.10161246038401257,0.4
0,80,0,0.0,0.0,0.00047200000000202635,[[0.12593086 0.45358746]],-1.666648350515183,0.1108000843209502,0.0001
0,80,0,0.0,0.0,0.000484000000000151,[[0.13027905 0.51395108]],-1.8262509045335884,0.14055917201975035,0.1
0,80,0,0.0,0.0,0.00042400000000242244,[[0.12690363 0.69589323]],-2.2332461683034226,0.2501859600399804,0.3
0,80,0,0.0,0.0,0.00042799999999942884,[[0.10654871 0.83971637]],-2.475678215584135,0.3582381029352815,0.4
0,80,0,0.0,0.0,0.0004770000000036134,[[-0.48818107 -0.37068155]],4.313813242463742,0.18786278266776013,0.0001
0,80,0,0.0,0.0,0.0005869999999958964,[[-0.529338   -0.48869677]],5.1744435823888,0.25951162570865016,0.1
0,80,0,0.0,0.0,0.0004810000000006198,[[-0.66067564 -0.81730309]],7.610100968705715,0.5522383208206012,0.3
0,80,0,0.0,0.0,0.0004249999999998977,[[-0.7552323  -1.10211092]],9.655186191459746,0.8925121553242235,0.4
0,80,0,0.0,0.0,0.0004270000000019536,[[0.04027897 1.19220856]],-7.913649332674325,0.7114918282915059,0.0001
0,80,0,0.0,0.0,0.00034800000000245745,[[0.01640452 1.50745288]],-9.640119270237335,1.136341647163134,0.1
0,80,0,0.0,0.0,0.0004729999999995016,[[-0.05966106  1.89998546]],-11.30447007800646,1.8067520941494923,0.3
0,80,0,0.012499999999999956,0.050000000000000044,0.0006729999999990355,[[-0.11033133  2.19132169]],-12.634630081857074,2.407031884644333,0.4
0,80,0,0.0,0.0,0.0005980000000036512,[[-1.21014038  3.79254403]],-31.336916472479842,7.923914978330202,0.0001
0,80,0,0.0,0.0,0.00045500000000231466,[[-1.61090683  4.00329836]],-32.40647888183594,9.310709291953136,0.1
0,80,0,0.21250000000000002,0.30000000000000004,0.0005470000000045161,[[-1.14025362  3.08053579]],-25.20036089028856,5.394939544178138,0.3
0,80,0,0.25,0.4,0.0005860000000055265,[[-0.94761893  2.20528474]],-17.948749976816604,2.8806312142702115,0.4
0,80,0,0.0,0.0,0.0005050000000039745,[[-0.16025556 -0.64948497]],2.58701143031771,0.22375628382003435,0.0001
0,80,0,0.0,0.0,0.0004350000000030718,[[-0.1875694  -0.73603148]],2.9981360809454833,0.28846231085999074,0.1
0,80,0,0.0,0.0,0.0006490000000027862,[[-0.28100949 -1.00290076]],4.343150849787936,0.542388138503435,0.3
0,80,0,0.0,0.0,0.00047900000000566934,[[-0.3693485  -1.22383476]],5.548566667051695,0.8170949112339257,0.4
0,80,0,0.0,0.0,0.0004429999999970846,[[ 0.53923946 -0.08408375]],-0.7556505645085076,0.14892463689510305,0.0001
0,80,0,0.0,0.0,0.00045300000000025875,[[ 0.60390523 -0.11079321]],-0.7235834151722171,0.18848832996981416,0.1
0,80,0,0.0,0.0,0.00044199999999960937,[[ 0.78752838 -0.21079757]],-0.43587380423677136,0.3323182829900084,0.3
0,80,0,0.0,0.0,0.0005749999999977717,[[ 0.91989009 -0.30977513]],-0.00983690267805315,0.47107920559353944,0.4
0,80,0,0.0,0.0,0.00035199999999946385,[[-0.00441901 -0.45691957]],3.464067729454773,0.10439750837485395,0.0001
0,80,0,0.0,0.0,0.0005450000000024602,[[-0.00212616 -0.49695142]],3.737986446507826,0.1234826180025412,0.1
0,80,0,0.0,0.0,0.0005019999999973379,[[ 0.00599599 -0.60240495]],4.4417806305429774,0.1814638350930441,0.3
0,80,0,0.0,0.0,0.00037700000000029377,[[ 0.01320859 -0.67375292]],4.903189043600226,0.2270587295804323,0.4
0,80,0,0.0,0.0,0.0004270000000019536,[[ 0.2616366  -0.19836506]],-0.03157708154555061,0.05390120243840575,0.0001
0,80,0,0.0,0.0,0.00041499999999672355,[[ 0.28427576 -0.20748564]],-0.050718249826394515,0.06193149963806997,0.1
0,80,0,0.0,0.0,0.000701000000006502,[[ 0.3401998  -0.22973876]],-0.10183034873134207,0.08425790175767939,0.3
0,80,0,0.0,0.0,0.0008180000000024279,[[ 0.37103178 -0.25035484]],-0.10124329726612484,0.10017106565574901,0.4
0,80,0,0.0,0.0,0.0009269999999972356,[[-0.05015204  0.2652334 ]],-0.6682067013809512,0.03643199242980463,0.0001
0,80,0,0.0,0.0,0.000385000000001412,[[-0.05579712  0.28603686]],-0.6978112805317556,0.042465200911442846,0.1
0,80,0,0.0,0.0,0.0005209999999991055,[[-0.0713893   0.33918595]],-0.7641039759243803,0.06007177213172267,0.3
0,80,0,0.0,0.0,0.0003379999999992833,[[-0.08248286  0.37383325]],-0.7999816321418822,0.07327736200992481,0.4
0,80,0,0.0,0.0,0.00044499999999914053,[[0.09794806 0.24422501]],-1.2241255163445883,0.034619839170920055,0.0001
0,80,0,0.0,0.0,0.00043000000000148475,[[0.09989232 0.26013969]],-1.2875513518327262,0.038825566192096525,0.1
0,80,0,0.0,0.0,0.0004029999999985989,[[0.10262036 0.29853187]],-1.4355573155108168,0.049826107152188936,0.3
0,80,0,0.0,0.0,0.000453999999997734,[[0.10294372 0.32186734]],-1.5221742669871285,0.05709799606312078,0.4
0,80,0,0.0,0.0,0.0008049999999997226,[[ 0.40064721 -0.7574224 ]],3.9878587547970135,0.3671034350105917,0.0001
0,80,0,0.0,0.0,0.0005170000000020991,[[ 0.37555012 -0.93312021]],5.158885700683664,0.5058756087675078,0.1
0,80,0,0.0,0.0,0.0007060000000009836,[[ 0.29238142 -1.35932101]],8.01674189199773,0.9666202449494754,0.3
0,80,0,0.0,0.0,0.0004989999999978068,[[ 0.34384627 -1.66707739]],9.84589538217333,1.4486886371370749,0.4
0,80,0,0.0,0.0,0.0004249999999998977,[[0.01748977 0.27353029]],-1.7857523414381977,0.03756235621943103,0.0001
0,80,0,0.0,0.0,0.0006360000000000809,[[0.0142762  0.28626205]],-1.8527558305482383,0.04107488591921538,0.1
0,80,0,0.0,0.0,0.0004400000000046589,[[0.01258618 0.31519221]],-2.050700164685417,0.04975227008065747,0.3
